index	toxic_comment	neutral_comment1	neutral_comment2	neutral_comment3
3200	не кукла а мумия молью трахнутая	Не кукла, а мумия плохого качества.		
3201	таким чертям не место среди нас всю семейку надо уничтожит тварей опозоривших наших отцов и дедов	Таким людям не место среди нас всю семейку опозоривших наших отцов и дедов		
3202	а-а-а-а, точно. он тоже пидорастов мочил.	А-а-а-а-а, точно он тоже их бил		
3203	до полтинник дожил, ума ни хуя, дебил! :d	До полтинник дожил ума нет		
3204	это дебилы отстой общества их нужно истреблять	Эти люди недостойны общества		
3205	да как носит таких козлов на земле.	Да как носит таких людей на земле		
3206	вот этим хуеплетам и похуй россияни у них главное чтоб яйца загарели	им всё равно на россиян им главное отдыхать		
3207	надеюсь ты рофлишь или еблан	Надеюсь ты шутишь		
3208	долбаебы,переведите на наше время.ска ,кто согласится такие посты,такое ощущение,что страна ждала героев,пизда рожала дураков.	Плохие люди. Переведите на наше время. Страна ждала героев, а сделали плохих людей.		
3209	это ещё ласково сказано! у нас в узбекистане те же пидоры!	это ещё ласково сказано! у нас в узбекистане те же нехорошие люди!		
3210	млять нет надо носить скрины.темы убивать	Блин нет, надо показывать скрины. Темы портить		
3211	до чего же глупая эта власть!не поздно ли спохватились менять кадры!!!глупые циркачи!!!клоуны затейники покиньте пост свой не позорьтесь!!!	До чего же глупая власть! Не поздно ли спохватились менять кадры!		
3212	нет! больно когда хочеш чтоб забрало ,а оно сука не забирает.	нет! больно когда хочеш чтоб забрало,а оно не забирает		
3213	слушвй хохляра, вы проебали украину, а теперь ты обвиняешь всех и вся.	Слушай, вы потеряли украину, а теперь ты обвиняешь всех и вся		
3214	гондон урод ебаный кидалова кинул женщину с детьми читает себя еще мужиком правельный	кинул женщину с детьми читает себя еще мужиком правельный		
3215	ты это скажи о высоцком, ублюдок !	ты это скажи о высоцком!		
3216	Я же не мразь, лжец, приспособленец и просто негодяй.	Я же не лжец,приспособленец и просто негодяй		
3217	сколько бы не было, пидор есть пидор! ещё этого пидора не обсуждали,что больше нечего делать??	Сколько бы не было, плохой человек, есть плохой человек! Еще это человека не обсуждали, что больше нечего делать??		
3218	долбоёб, больше ничего сказать не могу,матерных слов не хватает.	больше ничего сказать не могу,матерных слов не хватает.	больше ничего сказать не могу,матерных слов не хватает.	
3219	болтун! пусть едет в хабаровск, замутил воду, дрянь! вместе с зюгановым!	болтун! пусть едет в хабаровск, замутил воду! вместе с зюгановым		
3220	а вы я смотрю к дохуя умным относитесь😂	Вы считаете себя умным?		
3221	значит соответствует тому что женщине не по кайфу находится с этим далбаёбом!	значит соответствует тому что женщине не по кайфу находится с этим человеком!	Значит соответствует тому что женщине не приятно находиться с этим мужчиной	
3222	Че пацаны, ники какие хоть у вас на твиче, надо знать с кем чалишься на параше	Что пацаны, ники какие хоть у вас на твиче, надо знать с кем ты чалишься	Че пацаны, Ники какие хоть у вас на твиче, надо знать с кем чалишься	
3223	слишком много их тварей чтобы всех знать в лицо, из-за них и сидим без работы и уже начинаем голодать	Слишком много их, чтобы всех знать в лицо, из за них и сидим без работы и уже начинаем голодать	Слишком много плохих людей что бы всех знать что лицо. Из за них и сидим без работы и уже начинаем голодать	
3224	хоть бы раз суки показали по телевизору правду	Хоть бы раз показали по телевизору правду	хоть бы раз показали по телевизору правду	
3225	не група а ебучие папрошайки лайков !!!!	Люди только лайков хотят и больше ничего		
3226	когда же в россии все проснутся?или так и будем рабами пидарасов	Когда же в России все проснутся? Мы должны быть самодостаточными		
3227	как можно менять детей на ебарей .зла не хватает.	Дети должны быть на первом месте а не мужчины	Как можно менять детей на мужчин? Зла нехватает.	
3228	ну и чё это за хуйня,автор не наебывай людей.	Автор, ты предоставил ложную информацию	Ну что это за бред. Автор не обманывай людей	Ну и чё это за бред,автор не обманывай людей. И
3229	это укрожопые хохлодебилы , уже 6 лет слюнями брызгают -конец рашки , а он никак не наступает.	Украинцы уже 6 лет говорят, что России конец, а он никак не наступает.		
3230	Стоит от тебя ждать подробного сравнения?)	Стоит от тебя ждать подробного сравнения		
3231	да с десантурой,погранцами и мореманами это не их. вот лети,женщины и старики их вотчина... чмыри	До с дествнтниками, пограничниками и моряками это не их. Вот дети, женщины и старики их вотчина		
3232	C хуев они отказались от эксклюзивов? Форза, Хало, Гири-это эксклюзивы винды, хуй ты их на плойке запустишь	Почему они отказались от эксклюзивов? Forza, Halo. Gears of War - эксклюзивы Windows, которые нельзя запустить на Playstation		
3233	с а не продолжай уебок понял чтоты я	Можешь не продолжать. Я понял		
3234	бляя, не огорчай меня. получается тоже? 🐔	Не огорчай меня. Получается тоже?		
3235	Знаешь почему тебе 76? Потому, что мудаки и на том свете никому не нужны.	Знаешь почему тебе 76? Потому что такие люди и на том свете никому не нужны.		
3236	Сука, по монитору стекает, опять за тряпкой идти	По монитору стекает, опять за тряпкой идти	по монитору течёт, снова за тряпкой идти	по монитору стекает, опять за тряпкой идти
3237	Ха ха, пиздос. Там в комментах ещё либерасня подпиздывает. Поколение, воспитанное женщинами	Ха,ха. Там в комментах ещё либералы высказываются. Поколение, воспитанное женщинами.		
3238	Слушай умник, а где ты живешь? Пошли сегодня днем пива выпьем, а то что-то походу мы в разных городах живем.	Слушай, а где ты живешь? Пошли сегодня днем пива выпьем, а то что-то мы походу в разных городах живем.		
3239	вам...блядям до сих пор крымский мост не очевиден.видимо с батькиним электоратом то же самое.:-d﻿	вам..всем до сих пор крымский мост не очевиден.видимо с батькиним электоратом то же самое.	Вам до сих крымский мост не очевиден. Видимо с батькиным электоратом то же самое	
3240	козел. это же и дети увидят. и его дети в том числе. вырастут такими же ублюдами.	Это же и дети увидят. И его дети в том числе. Вырастут такими же неправильными	Это же дети увидят, в том числе и его. Кем они потом вырастут?	
3241	всех в магодан лес валить мрази	Всех в магодан лес валить.	всех в магодан лес валить	
3242	молодцы десантура! за родину! за народ! мочи гондольеров!	молодцы десантура! за родину! за народ!		
3243	даже суки не посмотрели в сторону пострадавшего бмв,как так и надо.у бумера сработали подушки, водиле по ходу не хило досталось.	даже не посмотрели в сторону пострадавшего бмв. У бумера сработали подушки, водителю вероятно досталось.	Даже не посмотрели в сторону пострадавшего бмв, как так и надо. У бумера сработали подушки, водиле по ходу не хило досталось	
3244	кто не будет носить маска, будет повешен на длинной веревка! тьфу.	носите маски, а то будет наказание	Кто не будет носить маску, будет наказан	
3245	Ахах, чувак. Скажи, что пошутил неудачно, иначе это пиздец.	Ахах, скажи, что пошутил неудачно, иначе это конец	Ахах, чувак. Скажи, что пошутил неудачно.	
3246	что за идиоты выкладывают это говно.	Что за люди выкладывают эту ерунду	Что за не умные выкладываю эту чушь	
3247	не великий гражданин, а великий пидораст.	Не Великий гражданин, а великий не хороший человек	не очень порядочный гражданин	
3248	никому не нужны чужие выблядки.	Никому не нужны чужие дети.	Никто не присмотрит за чужими детьми	Никому не нужны чужие дети
3249	Маловато этих мымр гнобят. Они на очередных выборах опять подмахнут, кому надо.	Мало их унижают. Они на очередных выборах опять подмахнут, кому надо.		
3250	уебок, но поет не плохо.	поет не плохо.		
3251	ты дурак? беларусы до сих пор тратят те доллары коротые заработали в начале 90!ты пиздолиз !	беларусы до сих пор тратят те доллары коротые заработали в начале 90	Белорусы до сих пор тратят те доллары, которые заработали в начале 90-х	
3252	соловей как истинный жидяра делает жидовскую работу - разделяй и властвуй.	соловей делает работу - разделяй и властвуй		
3253	сволочь конченная. мразь как ты будешь людям в глаза смотреть? народ ненавидит тебя.тебе это так не пройдет.	Как ты будешь людям в глаз смотреть? Народ не любит тебя. Тебе это так не пройдёт	как ты будешь людям в глаза смотреть? народ ненавидит тебя.тебе это так не пройдет.	
3254	в наш руский чемпионат надо иностранных судей а не питерских хуесосов	в наш руский чемпионат надо иностранных судей а не питерских	в наш руский чемпионат надо иностранных судей а не питерских	
3255	сука так пиздеть не в первой!!!	так врать не в первой		
3256	правильно сказал, из-за этого до сих пор донбасс утюжат, чистые долбоебы	Правильно сказал. Из а таких как он в Донбассе до сих пор стреляют.	Правельно сказал, из-за этого до сих пор Донбасс утюжат	
3257	так или иначе его настигнет божья кара всю жизнь трясись сука!	Так или иначе его настигнет божья кара всю жизнь трясись!	Так или иначе его настигнет божья кара, всю жизнь бойся	
3258	давно понятно,что обнулёныш пиздобол не тот ,кем выдаёт себя	давно понятно,что он не тот ,кем выдаёт себя		
3259	80% нахуя так пафосно? смешно бля.	зачем так пафосно? смешно		
3260	а сколько ещё этот пидор закопал вокруг дома😂	А сколько ещё этот человек закопал вокруг дома?		
3261	этой хуйней и сделано урод!!!	Этим и сделано		
3262	разводят людей....даже особо не заморачиваются...а это вообще реально выглядит или нет? им посрать....пиздят как дышат....	Разводят людей...даже особо не заморрачиваются...а это вообще реально выглядит или нет?им все равно...врут как дышат	Обманывают людей.. даже особо не заморачиваться. А это вообще реально выглядит или нет? Им плевать.. врут.	
3263	давайте грамотно выражаться! блядь, а не блять. проверяем во множественном числе - бляди, а не бляти. всего хорошего!.	давайте грамотно выражаться		
3264	девочки оставти пидора в покой пусть сам себе шлёт ролики .	Девочки, оставьте человека в покое пусть сам себе шлёт ролики		
3265	здесь были два пидара , вова и дима	Здесь были вова и Дима		
3266	для дебилов.... хотите приобрести животное, сдайте анализы на аллергию...	хотите приобрести животное, сдайте анализы на аллергию	хотите приобрести животное, сдайте анализы на аллергию...	Сдайте анализы на аллергию перед покупкой животного
3267	ох ты ж ебушки-воробушки...у него же весь позвоночник в трусы ссыпется по дороге домой....	Ох ты ж ёлки палки... у него же весь позвоночник в трусы сыпется по дороге домой		
3268	этого уебка под суд......без коментов	Этого под суд......без коментов		
3269	ну и где в байконуре лес, дебилы	Ну и где на Байконуре лес	Ну и где в байконуре лес	
3270	вв пидары живёте в россии, к российским мусарам запишите подобное видео. или не разрешают?	вы живёте в России, запишите подобное видео к российской милиции или не разрешают?	Вы живёте в России, к Российской милиции запишите подобные видео. Или не разрешают?	
3271	да милое фото, но сколько долбаебов, пиздастрадальцев, фейк это мужики.	Хорошее фото но это фейк	да милое фото, но сколько дурачков.фейк это мужики.	
3272	ну если ездить таким ебанутым способом, то да нужен задний привод... :)	Ну если ездить таким способом то да нужен задний привод		
3273	да это пидор(прошу прощения за выражение)но других слов у меня нет,скорее всего у него в детстве такое же было	Да это плохой человек но других слов у меня нет. Скорее всего у него в детстве такое же было	да это плохой человек(прошу прощения за выражение)но других слов у меня нет,скорее всего у него в детстве такое же было	
3274	зарядье просто говно по сравнению с нашим парком	Зарядье не понравилось, в отличии от парка	зарядье просто не очень по сравнению с нашим парком	
3275	если это правда то путин молодец ! бойтесь его суки.!	Если это правда, то Путин молодец, бойтесь его!	Если это правда то Путин молодец!бойтесь его	Если это правда, то Путин молодец! Бойтесь его!
3276	сколько мудаков лезут в тему про кошек.	сколько нехороших человек лезут в тему про кошек.		
3277	таких врачей за хрен да в музей	таких врачей да в музей		
3278	ты сука иди их вырости.	ты иди их вырости.		
3279	какой автоприцел,ручками нацелился и ебнул и откатился если что	Какой автоприцеп, можно приноровиться и откатить руками		
3280	вот за это надо расстреливать неумело руководство страной только воровать поэтому мы бедные	Они неумело руководят страной, поэтому мы бедные.		
3281	ЧЕТВЕРГ РЫБНЫЙ ДЕНЬ ПРИШ Л В СТОЛОВУЮ ПУСТЫЕ ПРИЛАВКИ Не понял, можно поподробней?	Четверг - рыбный день. Пришёл в столовую, прилавки пусты. Не понял, можно поподробней?		
3282	Ок, при чем здесь мы-то, дурачок? Переживаешь за хохлов, получай их громадство, голосуй за кого хочешь.	Ок. При чем здесь мы? Переживаешь за украинцев, получай их гражданство, голосуй за кого хочешь.		
3283	мразь это та тварь , которая лезет к нам в россию со своей молитвой	Плохой человек это тот, который лезет к нам в Россию со своей молитвой.		
3284	время бежит время мчится время скачет кто не пьёт да не ебёт потом вспохватится	Время бежит, время мчится, время скачет, кто не пьёт, тот потом вспохватится		
3285	вот дебил....выпустили опять ему неймется......людям голову морочит...	Вот выпустили опять ему неймется......людям голову морочит	Выпустили опять ему неймется …людям голову морочит	
3286	бляди они на это они своих детей кормят	Они на это они своих детей кормят		
3287	походу долбоебы других вариантов нет	По- моему, других вариантов нет.		
3288	больше слов нету , большие долбоёбы ,,,	Слов нет..		
3289	бля.ь,я ебанн..й интроверт,сама не рада(	Блин, я интроверт. Сама не рада.		
3290	И тогда бабка начнет ебать мозги еще и соседям. Гениально.	И тогда бабка начнет беспокоить еще и соседей. Гениально.	Тогда бабушка будет приставать ещё и к соседям. Не разумно	И тогда бабка начнет надоедать еще и соседям. Гениально.
3291	хули вы смотрите на ебанутую америку там все пидорасы. поддкржал не поддержал каму это надо сосите дальше у пиндосов	Зачем вы смотрите на Америку?		
3292	долбаебы, сначала развязку в тольяти постройте.а потом уж о пробках на гес говарите	Сначала развязку в Тольятти постройте, а потом уж о пробках говорите.	сначала развязку в тольятти постройте. а потом уж о пробках на гес говорите	
3293	малачина такинада таким уродов наказать 👍👍👍	Молодец! Так и нужно таких людей наказывать		
3294	что за пидор выкладывает такие картинки ???	кто выкладывает такие картинки	Кто выкладывает эти картинки	
3295	тварь свинина, сидит и ждет сутками, когда ей кто- нибудь ответит.	сидит и ждет сутками, когда ей кто- нибудь ответит	Она сидит и ждёт сутками когда ей кто-, нибудь ответит	
3296	мужиков то нет ,одни папорацы ,да пидоры.	Мужиков нет		
3297	эти ублюдки в своей стране порядок навести не могут, но в любую задницу норовят заглянуть	В своей стране порядок навести не могут, а к чужому норовят заглянуть		
3298	ты, овечка, тебя наверное кормушка кормит? згинь и здохни, шкура дешёвая. мразь негодная.	тебя наверное кормушка кормит?		
3299	такое дер..мо не тратьте продукты	такая гадость, не тратьте продукты		
3300	когдть же этот уёбок пойдёт гулять по мосту.	Когда же этот человек пойдет гулять по мосту	Когда он пойдёт гулять по мосту	
3301	пидор ты гнойный сидиш за границей и мутиш народ козлина ваша демократия нам не к чему	Живешь ты за границей и мутишь народ. Ваша демократия нам не к чему.		
3302	вот vs Проханов с удовольствием бы глянул прошка же наглухо поехавший lol	На Проханова я бы с удовольствием посмотрел.		
3303	а толку! нас ебут,а мы крепчаем!	а толку! нас бьют,а мы крепчаем!	а толку! нас обижают,а мы крепчаем!	
3304	Это как заказывать проститутку похожую на бывшую, а потом выебать её рыдать ей в жилетку и рассказывать о своей бабе.	Это как заказывать путану похожую на бывшую, а потом поиметь её рыдать ей в жилетку и рассказывать о своей бабе.		
3305	пиздешь! развод для лохов которые классы ставят.	Враньё!развод для глупых которые классы ставят.		
3306	у них было оружие пристрелии бы зачем выпендриваться	У них было оружие. Могли бы им воспользоваться.		
3307	канеш , и александр невский и дмитрий донской .... задумывались о хохложопых бу га га !	канеш , и александр невский и дмитрий донской .... задумывались об украинцах бу га га !		
3308	Крохотный то крохотный, да пикабушник	Крохотный то крохотный, на пикабу сидит		
3309	когда они наконец поубивают друг друга пидоры	Когда вы наконец разберётесь между собой		
3310	какой же пидорас так собак опустил	какой же человек так собак опустил	кто же собак так отпустил	
3311	пусть на хуй что хотят делают суки зайбали поедим домой	Пусть делают что хотят. Поехали домой		
3312	пиздец стране ! гражданская война , кровь , смерть , горе , разруха гарантированы .	Гражданская война и горе гарантированы стране.		
3313	дерьмо к дерьму не пристанет	Плохое к плохому не пристанет		
3314	хабаровск вы ебнутые! вы за кого вступаетесь! за убийцу! вы че все об угол ебанулись?!	Хабаровск! Вы заступаетесь за убийцу!		
3315	Уточняю- ощущение такое что ты блеванул на клавиатуру.	Уточняю - ощущение, что ты испортил клавиатуру		
3316	как эта сука боится суда	Он боится суда	Как этот человек боится суда	
3317	ни одного положительного отзыва)))) казел обоссаный!!!	Ни одного положительного отзыва		
3318	пи вот пидорасы же как чего спиздят обязательно медведя нарисуют с	Вот недостойные люди. Если что-то своруют, обязательно нарисуют медведя		
3319	точно козел. как только рука поднялась. чтоб ему пусто было!!!	как только рука поднялась. чтоб ему пусто было		
3320	Оу, ты опять здесь. Всё пичОт?	Ты все еще тут, жжение есть?		
3321	кого ебёт что ты любишь ишак?	Кого волнует что ты любишь?	кого волнует,что ты любишь?	
3322	ну почему же не услышали??? за это его и трахнули в задницу... он же этого хотел??	Ну почему же не услышали? За это его и наказали...он же этого хотел	ну почему же не услышали? за это его и наказали... он же этого хотел?	Ну почему же не услышали? За это он и получил по заслугам. Он же этого хотел?
3323	пиздец подкрадывается к вам незаметно, братья белоруссы.	Пипец подкрался к вам незаметно братья беларуссы.		
3324	если один мальчик смог развалить страну, то значит не страна была, а кучка из говна и палок.	Если один мальчик смог развалить страну, то там и без этого все не ахти было.	Если один мальчик смог развалить страну, значит страна была слабой.	
3325	дааа молодежь такая сейчас пиздец	дааа молодежь такая сейчас		
3326	а что ты мальчишек отчитываешь? ты свой фейс покажи.описалась ? а им приказали .курица.	А что ты мальчишек отчитываешь? Ты свое лицо покажи. Испугалась? А им приказали.		
3327	оторвать бы руки такому слесарю, который разметку на металле делает маркером!!!	Плохой слесарь, если разметку на металле делает маркером!!!		
3328	пидор, ты кого видел? какую собаку , ибанат ты тупой, ахаахаа,ту собаку которая твою старухумать драла как казу , ахааа	ты кого видел? какую собаку?		
3329	эй пид..ор у них государственный язык украинский	У них государственный язык украинский		
3330	Ахуеть, а ты откуда знаешь!!!?!??	А ты откуда знаешь?	А ты откуда знаешь ?	
3331	как можно жить, жрать и ..., зная, что тебя ненавидит весь людс кой мир, сдохни, тварь !!!	Как можно жить, питаться и спать, зная, что тебя ненавидит весь людской мир.?		
3332	Но дебил это ты, по тому что это фантазии. Вывод нужно обосновывать, а ты этого не сможешь сделать, чушок.	вывод нужно обосновывать		
3333	ты дура долбаная, с начала думай если есть чем ,а потом пиши.	Сначала подумай, а потом пиши.		
3334	кострировать и анулировать граждантво рф и депортировать на пример в пакистан!	анулировать граждантво рф и депортировать на пример в пакистан!		
3335	Это же пизда будет объебосы сразу вмякие повылазят, будут шастать по улицам, повысится криминал, дтп и всякая другая хуйня	Это плохо будет сразу всякие повылазят, будут шастать по улицам, повысится криминал, дтп и всякая другая ситуация		
3336	гей.это французское фамилие.а правильно их надо называть пидары.	Гей это французская фамилия,а правильно их можно называть гомосексуалисты		
3337	ВО во письмо наверняка хохлы не нравятся видите ли не нравится им руководство части ууух суки	вот письмо, наверное украинцы не нравятся, видите ли не нравится им руководство части		
3338	У петушков в телевизоре куда ни плюнь - всюду провокации.	В телевизоре куда ни плюнь-всюду провакации.	У ведущих в телевизоре куда ни посмотри, всюду провокации.	
3339	кто за этого дебила голосовал?	Интересно кто ему отдал свой голос		
3340	пусть все знают, ты же этого добивался педераст лизун ирэн толстая жопа))))))	пусть все знают, ты же этого добивался	Пусть всё знают, ты же этого добивался.	
3341	пёс молодец а хозяина машины уебать по яйцам надо за плохое отношение к овчарке	пес молодец, а хозяина надо наказать за плохое отношение к овчарке		
3342	Опущ, ты везде багорт видишь?	Ты везде багорик видишь?		
3343	идите нах со своими масками , в жопу себе их засуньте	да ну вас со своими масками		
3344	прихуйздатый расшифровку придумать не могу	Не могу придумать расшифровку		
3345	хорош пиздить фотки с багини	Хватит воровать фотки с багини		
3346	Ей и электрошокер в яйца был похрену. Я думаю она бешенством болела.	Ей и электрошокер был нипочём. Я думаю, она бешенством болела		
3347	за таких ублюдков страдают не винные	За таких не хороших людей страдают невинные		
3348	Ну не хочешь - ну донать, лол. Зачем кукарекать-то как петух токсичный?	Ну не хочешь - плати! Чего кричать- то?		
3349	интересно как этот попал в депутаты, я все больше убеждаюсь теперь в думе одни идиоты	Интересно как он попал в депутаты?		
3350	а его место на виселицу, в таком случае, за такие слова.	А его нужно наказать за такие слова		
3351	я тебе сука сарай приготовил	Я тебе сарай приготовил		
3352	а чего ебальник закрасили , может быть его еще кто то бы опознал !!!!	А почему лицо спрятано? Его мог бы кто-то опознать	А зачем лицо скрыли? Может, кто-нибудь и опознал бы	
3353	А ты моральное удовольствие от такого тупого крысятничества получаешь или твоя интеллектуальная и физическая импотенция руководит твоими действиями?)	А ты моральное удовольствие от такого получаешь или твоя интеллектуальная и физическая натура руководит твоими действиями?)		
3354	блядь это он кому сказал пиндосы?	Интересно кому он это адресовал ?		
3355	идиоты.. давайте своих имбецилов. не трогайте святое!!!!	Давайте своих! Не трогайте святое!		
3356	а горбачь пидор еще жив?	а горбачь еще жив?	А Горбачь ещё жив?	
3357	чтобы было монго, много денег а х.... и у мертвого отсосут!	Чтобы было много-много денег. А ради этого сделают всë.		
3358	откуда этот депутат,чего молчат его избиратели,отозвать и набить морду	откуда этот депутат,чего молчат его избиратели,отозвать и наказать		
3359	в глаза хочу взглянуть я тем дебилам, голосующим за эту власть!!!	в глаза хочу взглянуть я тем людям, голосующим за эту власть!!!		
3360	выблядок ...мразота паскуднвя....найдёте,родителям бедных этих детишек перепуганных отдайте	Найдите и отдайте детей их родителям	найдёте,родителям бедных этих детишек перепуганных отдайте	
3361	а люди такие, извините, свиньи, что эта поговорка не действует	а люди такие, извините, что эта поговорка не действует	Люди такие что эта поговорка не действует	
3362	иди в пизду, мудак. будешь тут ещё писать мне, ублюдок. сдохни, пидор.	Не пиши мне больше	Не пиши мне	
3363	таких нада любить трахать женщин	таких нада любить	таких надо любить спать с женщирами	
3364	вы что суки святое трогаете это бессмертный полк а не ваша вонючая акция бляди лишь бы спровоцировать	"Не трогайте акцию""бессмертный полк"",в отличии от вашей,это святое."	Зачем вы святое трогает? Это бессмертный полк, а не ваша провокационная акция	
3365	захлопни своё либеральное ебало ...	Можно закрыть рот.	Если ты либерал то лучше молчи	
3366	и вот какая скотина это постит? какие лайки? горе и мольба в глазах!! лучше бы накормил, а не фоткал, скот.	и вот кто это постит? какие лайки? горе и мольба в глазах!! лучше бы накормил, а не фоткал	и вот какой плохой человепк это постит? какие лайки? горе и мольба в глазах!! лучше бы накормил, а не фоткал.	
3367	предлагаю начать с госдумы, сжечь их нахуй!	Предлагаю начать с госдумы		
3368	выбросить из думы как кота позорного, с формулировкой- в связи с утратой доверия. ну или просто трахнуть за горожами.	убрать из думы, с формулировкой- в связи с утратой доверия.		
3369	на пируется на трахается и придет	Напируется и приедет		
3370	долбоеб, ум отсутствует, на его роже написано, дурак!	Ум отсутствует, на его лице написано, глупый!		
3371	идиот. армения всегда была и будет!!!	армения всегда была и будет!!!		
3372	я не еблан на пиши куда приехать	Я не глупый, напиши куда приехать		
3373	долбаёбы, сами себе роют яму.	Сами себе роют яму		
3374	руки бы отрезать таким тварям за издевательства такие !	Наказать надо таких людей за издевательства		
3375	хуепупало тебе до батьки далеко	Далеко тебе до батьки		
3376	блять страна не пуганых идиотов руку подыми ногу подыми может жопу ещё раздвинуть8oi	Страна непуганных глупых людей руку подыми ногу подыми может ягодицы ещё раздвинуть		
3377	своих я не трогаю а ты и этот бандерлог чужие хули вас не трогать то	Своих я не трогаю. А вы чужие.	Я за своих людей горой стану, а вас чужих прогон ю	
3378	ну блять подвиг совершить собрался- пиждобол	Подвиг совершить собрался - лукавый	подвиг совершить собрался	
3379	действительно охуеть, тебе сделали простое замечание,после которого единственный выход -в атаку ,да? пьяное говно это а не десантники.	действительно обалдеть, тебе сделали простое замечание,после которого единственный выход -в атаку ,да? пьяный неадекватный - это а не десантники.		
3380	а все остальные в масках !!!!боятся твари!!!!! понимают что здохнет скоро мосейчук!!!!!	а все остальные в масках !боятся ! понимают что уйдёт скоро мосейчук!!!!!		
3381	ты закроешь свой рот ебучий,ты спать мешаешь сука	Не мешай мне спать. Перестань разговаривать и мешать спать.		
